id,neighborhood
--cgVkbWTiga3OYTkymKqA,Homewood
--ujyvoQlwVoBgMYtADiLA,Hays
-1PwcnMwaztBRKah7lrWBg,Dormont
-3rvpkYkYD_N1IP4hSvD0A,Dormont
-40RDS4F54qiGiEQUsZaXA,Aspinwall
-5CXrj2zoTVcZG9NdCtJaw,Carrick
-7teXSpi9nqy58WUd-8yfw,Carrick
-9lOQ0Lfm8wiu8eSdUXS8A,Aspinwall
-aZJYlL8sb8UGHcFoDIqSA,West View
-BuZrOMqgO4OU_UKYSddAg,Aspinwall
-CHQ9-OIJhMtgYdWN_eFPw,Regent Square
-d8gt_XhhUQh2CxlWJe-xw,West View
-DQVeF8QYXGL4o5FJcLMsg,Homewood
-DUQQsE2QvFIuqO5EiChQA,Dormont
-EOkXdih0os9dWdSe3W8kA,West View
-FcuxZqsQ0FO35GEXExwjw,Regent Square
-h6bRTwHPOMi_JHE-8sBpg,Aspinwall
-Is6Ney1wmsJAjvDdkaaaQ,Point Breeze
-jY5PZpcwKf1aB2b2XwEVw,Hays
-kmPZ1i8fJBCAlVcTWqAeA,Millvale
-LiVt5oFhC-AA4nCH77DjQ,Dormont
-nHkhiuerqmfBG3v2v9O-g,Carrick
-RxzvvyKBOPOzeTvagqEfg,Fairywood
-SYMuJ9jfIMkXUMYl_RFfw,West View
-U-iY-Ien0aRa3NZ1rnLxA,West View
-W4gdvXVwi2nTkAIjqaJzA,Aspinwall
-Wdp5xVPqhbFxWZDVmqRNw,Avalon
-WgUeWBmBR6l_6RFEPzzaw,Fairywood
-xO6uM7qSclHSnXLTVRneQ,West View
-Z83meSvAH4vJ6dfO8hjUw,Fairywood
-zvdIbQK0RAf6GDNcIrqCA,Overbrook
0-mgWY9EHEYn3sLMxDHeZA,West View
0-nKBUyFdYAbq0PnByIabA,Aspinwall
07jcnYyPycPdEbr74tD_Kw,Dormont
098G16F8OQHVzsFoe6sRHw,Dormont
0aC1_rN0scdHkAy_dDSMWA,Etna
0ajTatYvxoFd7-C22r6L4w,Homewood
0cjjoeuuWcgrFFe0qd-eOw,Homewood
0cpanzyAZa0qGPsiXSV-Nw,West View
0Db7vd1NK4wRKKaVyyvuJw,West View
0Em_6So49P5c0j1bJABo3g,West View
0FJHkWgCsvgDjWQyRBlKkA,West View
0FSH-6mRF7DKjeI98snxrA,Dormont
0hlQbEOdqNBagHP6xFgRRQ,Homewood
0IfrcGbFzQvn9w8bl9GKDg,West View
0LET9Sv07b3nMYzvBvCyuA,Aspinwall
0OkfU0vDBprsIEd5hWuhAQ,Point Breeze
0P80meqrUpsJlHty1iuxVg,Homewood
0PtNw7RgF4JFcPyP-LqZ_Q,Regent Square
0t2yPpsbObqxB8PRyLRUhg,Fairywood
0tsl6aGhI-4nJgeVRfC3HQ,Homewood
0U0DYaZudE9qyZfNkBfYIg,West View
0vAHRd4Xlsdx3fHV8JCRBQ,Dormont
0VDcJitRHh5uJnkjymu_6A,West View
0wJVogOnBxNLBBfFN0K92A,West View
0Wy4gw8krao9nGq-sHWFSQ,Homewood
0xgiGCKfFCbRl_1ykxhSYA,Regent Square
0XYb2hRZFsdawpC8ksZSwA,West View
0YcX4NLYO5DDwSr8KcV1rQ,Dormont
0yFe_kQiynisvahzVuq6Mw,Fairywood
0zpkvq98Gx34dF7UK2u02w,West View
1370lq78GpaSd3P-QEnZBg,Fairywood
13EssEAKW5Wd9p7_HDsUPg,Dormont
13ul-SZPweqIStSYF2cciQ,East Carnegie
14shvUWwsNM6evkIXfgLIw,Carnegie
15RvAvPxUBl3HmnGMJdtTQ,Greentree
19m3NtbbP2VX-tDFJB1lKQ,Carrick
